Year,FishCountry,TaxonName,CommonName,SumCatch
1957,Japan,Makaira nigricans,Blue marlin,258.7619987
1957,Japan,Scombridae,Mackerels  tunas and bonitos,31.33003295
1957,Japan,Thunnus orientalis,Pacific bluefin tuna,10584.80833
1957,Japan,Katsuwonus pelamis,Skipjack tuna,46113.70723
1957,Japan,Thunnus maccoyii,Southern bluefin tuna,17870.83179
1957,Japan,Thunnus albacares,Yellowfin tuna,75390.72933
1957,Korea (South),Thunnus orientalis,Pacific bluefin tuna,0.171128447
1957,Mexico,Katsuwonus pelamis,Skipjack tuna,88.08188782
1957,Mexico,Thunnus albacares,Yellowfin tuna,443.9252243
1957,New Zealand,Thunnus maccoyii,Southern bluefin tuna,0.210982969
1957,Norway,Thunnus thynnus,Atlantic bluefin tuna,183.9943566
1957,Philippines,Euthynnus affinis,Kawakawa,11856.17492
1957,Portugal,Thunnus obesus,Bigeye tuna,1959.066771
1957,Portugal,Katsuwonus pelamis,Skipjack tuna,73.50953625
1957,Réunion (France),Thunnus alalunga,Albacore,5.838436207
1957,Réunion (France),Katsuwonus pelamis,Skipjack tuna,14.46881886
1957,Réunion (France),Thunnus albacares,Yellowfin tuna,76.27723154
1957,Saint Helena (UK),Thunnus albacares,Yellowfin tuna,94.16648881
1957,Spain,Thunnus thynnus,Atlantic bluefin tuna,672.2239432
1957,Taiwan,Thunnus alalunga,Albacore,0.234168693
1957,Taiwan,Thunnus obesus,Bigeye tuna,1634.273626
1957,Taiwan,Scombridae,Mackerels  tunas and bonitos,0.172078577
1957,Taiwan,Thunnus orientalis,Pacific bluefin tuna,97.56548672
1957,Taiwan,Thunnus albacares,Yellowfin tuna,4733.525135
1957,USA,Thunnus alalunga,Albacore,17052.92047
1957,USA,Thunnus thynnus,Atlantic bluefin tuna,239.276763
1957,USA,Euthynnus alletteratus,Little tunny,1.045765619
1957,USA,Thunnus orientalis,Pacific bluefin tuna,7759.314038
1957,USA,Katsuwonus pelamis,Skipjack tuna,36730.5172
1957,USA,Thunnus albacares,Yellowfin tuna,51736.23088
1958,Angola,Euthynnus alletteratus,Little tunny,193.5397864
1958,Angola,Thunnus albacares,Yellowfin tuna,3264.19981
1958,Australia,Scombridae,Mackerels  tunas and bonitos,102.766104
1958,Australia,Thunnus maccoyii,Southern bluefin tuna,1198.573076
1958,Barbados,Makaira nigricans,Blue marlin,288.0031554
1958,Brazil,Katsuwonus pelamis,Skipjack tuna,41.86614245
1958,Brazil,Thunnus albacares,Yellowfin tuna,2935.819106
1958,Canada,Thunnus alalunga,Albacore,0.242477862
1958,Canada,Thunnus thynnus,Atlantic bluefin tuna,16.24558621
1958,Chile,Scombridae,Mackerels  tunas and bonitos,121.016215
1958,France,Thunnus thynnus,Atlantic bluefin tuna,264.605265
1958,France,Thunnus albacares,Yellowfin tuna,4803.896915
1958,Guam (USA),Scombridae,Mackerels  tunas and bonitos,7.448369818
1958,Japan,Thunnus alalunga,Albacore,49239.73858
1958,Japan,Thunnus thynnus,Atlantic bluefin tuna,8.505505605
1958,Japan,Thunnus obesus,Bigeye tuna,67498.7633
1958,Japan,Makaira nigricans,Blue marlin,206.267537
1958,Japan,Scombridae,Mackerels  tunas and bonitos,758.1872494
1958,Japan,Thunnus orientalis,Pacific bluefin tuna,6451.219272
1958,Japan,Katsuwonus pelamis,Skipjack tuna,68671.65452
1958,Japan,Thunnus maccoyii,Southern bluefin tuna,11429.27905
1958,Japan,Thunnus albacares,Yellowfin tuna,81833.12927
1958,Korea (South),Thunnus orientalis,Pacific bluefin tuna,0.171128447
1958,Mexico,Thunnus alalunga,Albacore,0.215809375
1958,Mexico,Thunnus albacares,Yellowfin tuna,2397.196211
1958,New Zealand,Katsuwonus pelamis,Skipjack tuna,0.215686236
1958,Norway,Thunnus thynnus,Atlantic bluefin tuna,128.2419888
1958,Philippines,Euthynnus affinis,Kawakawa,12836.09182
1958,Portugal,Thunnus obesus,Bigeye tuna,887.4744671
1958,Portugal,Katsuwonus pelamis,Skipjack tuna,49.0063575
1958,Réunion (France),Thunnus alalunga,Albacore,5.838436207
1958,Réunion (France),Katsuwonus pelamis,Skipjack tuna,14.46881886
1958,Réunion (France),Thunnus albacares,Yellowfin tuna,76.27723154
1958,Saint Helena (UK),Thunnus albacares,Yellowfin tuna,94.16648881
1958,Spain,Thunnus thynnus,Atlantic bluefin tuna,1020.091071
1958,Taiwan,Thunnus alalunga,Albacore,93.66747704
1958,Taiwan,Thunnus obesus,Bigeye tuna,2211.076083
1958,Taiwan,Scombridae,Mackerels  tunas and bonitos,68.83143089
1958,Taiwan,Thunnus orientalis,Pacific bluefin tuna,97.56548672
1958,Taiwan,Katsuwonus pelamis,Skipjack tuna,601.5119087
1958,Taiwan,Thunnus albacares,Yellowfin tuna,5090.772314
1958,USA,Thunnus alalunga,Albacore,14327.28814
1958,USA,Thunnus thynnus,Atlantic bluefin tuna,591.8674115
1958,USA,Euthynnus alletteratus,Little tunny,0.418306248
1958,USA,Scombridae,Mackerels  tunas and bonitos,57.56692887
1958,USA,Thunnus orientalis,Pacific bluefin tuna,11733.08717
1958,USA,Katsuwonus pelamis,Skipjack tuna,49901.92502
1958,USA,Thunnus albacares,Yellowfin tuna,46651.69928
1959,Angola,Euthynnus alletteratus,Little tunny,533.5421139
1959,Angola,Thunnus albacares,Yellowfin tuna,1398.942776
1959,Australia,Scombridae,Mackerels  tunas and bonitos,6.056925433
1959,Australia,Thunnus maccoyii,Southern bluefin tuna,520.9372479
1959,Barbados,Makaira nigricans,Blue marlin,288.0031554
1959,Brazil,Katsuwonus pelamis,Skipjack tuna,271.9755349
1959,Brazil,Thunnus albacares,Yellowfin tuna,3405.727946
1959,Canada,Thunnus alalunga,Albacore,96.99114489
1959,Canada,Thunnus thynnus,Atlantic bluefin tuna,39.75893466
1959,Chile,Scombridae,Mackerels  tunas and bonitos,0.151270269
1959,Estonia,Scombridae,Mackerels  tunas and bonitos,4.823720662
1959,France,Thunnus thynnus,Atlantic bluefin tuna,392.7522998
1959,France,Thunnus albacares,Yellowfin tuna,2604.522424
1959,Georgia,Scombridae,Mackerels  tunas and bonitos,1.00982091
1959,Guam (USA),Scombridae,Mackerels  tunas and bonitos,7.361656
1959,Japan,Thunnus alalunga,Albacore,54121.66655
1959,Japan,Thunnus thynnus,Atlantic bluefin tuna,75.80145697
1959,Japan,Thunnus obesus,Bigeye tuna,67958.16951
1959,Japan,Makaira nigricans,Blue marlin,240.8515882
1959,Japan,Scombridae,Mackerels  tunas and bonitos,621.8326362
1959,Japan,Thunnus orientalis,Pacific bluefin tuna,15229.17158
1959,Japan,Katsuwonus pelamis,Skipjack tuna,76868.03787
1959,Japan,Thunnus maccoyii,Southern bluefin tuna,27713.27728
1959,Japan,Thunnus albacares,Yellowfin tuna,95728.06051
1959,Korea (South),Thunnus orientalis,Pacific bluefin tuna,0.171128447
1959,Latvia,Scombridae,Mackerels  tunas and bonitos,7.265357047
1959,Lithuania,Scombridae,Mackerels  tunas and bonitos,6.729388085
1959,Mexico,Katsuwonus pelamis,Skipjack tuna,440.4094391
1959,Mexico,Thunnus albacares,Yellowfin tuna,3196.261615
1959,New Zealand,Katsuwonus pelamis,Skipjack tuna,0.215686236
1959,Norway,Thunnus thynnus,Atlantic bluefin tuna,66.60272508
1959,Philippines,Euthynnus affinis,Kawakawa,13110.32443
1959,Portugal,Thunnus obesus,Bigeye tuna,1309.355986
1959,Portugal,Katsuwonus pelamis,Skipjack tuna,95.16350816
1959,Réunion (France),Thunnus alalunga,Albacore,5.838436207
1959,Réunion (France),Katsuwonus pelamis,Skipjack tuna,14.46881886
1959,Réunion (France),Thunnus albacares,Yellowfin tuna,76.27723154
1959,Russian Federation,Scombridae,Mackerels  tunas and bonitos,26.26247916
1959,Saint Helena (UK),Thunnus albacares,Yellowfin tuna,94.16648881
1959,Spain,Thunnus thynnus,Atlantic bluefin tuna,894.3892686
1959,Taiwan,Thunnus alalunga,Albacore,187.3349541
1959,Taiwan,Thunnus obesus,Bigeye tuna,2211.076083
1959,Taiwan,Scombridae,Mackerels  tunas and bonitos,206.4942927
1959,Taiwan,Thunnus orientalis,Pacific bluefin tuna,292.6964602
1959,Taiwan,Katsuwonus pelamis,Skipjack tuna,515.5816361
1959,Taiwan,Thunnus albacares,Yellowfin tuna,5180.084109
1959,Ukraine,Scombridae,Mackerels  tunas and bonitos,14.26372035
1959,USA,Thunnus alalunga,Albacore,17248.64614
1959,USA,Thunnus thynnus,Atlantic bluefin tuna,673.5588173
1959,USA,Euthynnus alletteratus,Little tunny,5.647134344
1959,USA,Scombridae,Mackerels  tunas and bonitos,124.6068967
1959,USA,Thunnus orientalis,Pacific bluefin tuna,6308.724603
1959,USA,Katsuwonus pelamis,Skipjack tuna,44828.95367
