IYear;LME;EcolFP
1961;11;0.009709926
1961;12;0.021361751
1961;13;0.085219911
1961;14;0.013505501
1961;15;0.01614786
1961;16;0.025080024
1961;17;0.014076023
1961;18;0.674173811
1961;19;1.157528538
1961;20;0.458206033
1961;21;0.331407464
1961;22;0.509668099
1961;23;0.280335033
1961;24;0.148747975
1961;25;0.724816205
1961;26;0.071565986
1961;27;0.032624397
1961;28;0.020908119
1961;29;0.029203859
1961;30;0.016087157
1961;31;0.005060475
1961;32;0.032437137
1961;33;0.01323536
1961;34;0.038175208
1961;35;0.070226619
1961;36;0.167948651
1961;37;0.08336364
1961;38;0.036468964
1961;39;0.011243184
1961;40;0.03215241
1961;41;0.006581156
1961;42;0.004083711
1961;43;0.006277686
1961;44;0.006297485
1961;45;0.00559407
1961;46;0.007105704
1961;47;0.481272719
1961;48;0.331222594
1961;49;0.266546021
1961;50;0.309520256
1961;51;0.187231904
1961;52;0.193299429
1961;53;0.084669764
1961;54;0.000408164
1961;55;0.000240491
1961;56;0.000218834
1961;57;0.000388895
1961;58;0.000898154
1961;59;0.102225478
1961;60;0.352640425
1961;61;1.19867E-05
1961;62;0.034299393
1961;63;0.00390412
1961;64;0.00040911
1961;65;0.004527709
1961;66;0.466958708
1962;1;0.098149744
1962;2;0.068235115
1962;3;0.021627996
1962;4;0.008022776
1962;5;0.041058307
1962;6;0.040361458
1962;7;0.345380388
1962;8;0.480283816
1962;9;0.979660313
1962;10;0.050779277
1962;11;0.009758261
1962;12;0.029381432
1962;13;0.093079952
1962;14;0.01476425
1962;15;0.03089383
1962;16;0.041731828
1962;17;0.017944496
1962;18;0.682672708
1962;19;1.225757654
1962;20;0.503514497
1962;21;0.336164344
1962;22;0.472625646
1962;23;0.276053706
1962;24;0.177855521
1962;25;0.731983146
1962;26;0.05857269
1962;27;0.047199078
1962;28;0.022154043
1962;29;0.032718658
1962;30;0.017366382
1962;31;0.005822703
1962;32;0.031508514
1962;33;0.014130044
1962;34;0.040450941
1962;35;0.083134267
1962;36;0.178245966
1962;37;0.07912951
1962;38;0.038389545
1962;39;0.013307673
1962;40;0.038397716
1962;41;0.006704916
1962;42;0.004579641
1962;43;0.007442275
1962;44;0.007402355
1962;45;0.007261035
1962;46;0.00738197
1962;47;0.511094583
1962;48;0.34361052
1962;49;0.28375927
1962;50;0.335440751
1962;51;0.202733747
1962;52;0.198783243
1962;53;0.085910752
1962;54;0.000497382
1962;55;0.000250911
1962;56;0.000218834
1962;57;0.000388895
1962;58;0.000915277
1962;59;0.100033295
1962;60;0.362487052
1962;61;1.19867E-05
1962;62;0.018584096
1962;63;0.004093274
1962;64;0.000352658
1962;65;0.004829236
1962;66;0.504840536
1963;1;0.102254063
1963;2;0.066540611
1963;3;0.023621648
1963;4;0.008855391
1963;5;0.048319043
1963;6;0.045714402
1963;7;0.556029647
1963;8;0.548478652
1963;9;1.034870001
1963;10;0.05249841
1963;11;0.010046946
1963;12;0.027757801
1963;13;0.095406564
1963;14;0.019658304
1963;15;0.029116181
1963;16;0.031759478
1963;17;0.016711284
1963;18;1.43027897
1963;19;1.251616654
1963;20;0.448982553
1963;21;0.336648707
1963;22;0.555050541
1963;23;0.279627367
1963;24;0.177256169
1963;25;0.800820006
1963;26;0.069305904
1963;27;0.048792814
1963;28;0.024636115
1963;29;0.033800919
1963;30;0.017124079
1963;31;0.003949254
1963;32;0.032860844
1963;33;0.012379941
1963;34;0.042567432
1963;35;0.099893788
1963;36;0.203214139
1963;37;0.098914056
1963;38;0.037254184
1963;39;0.01288408
1963;40;0.036330345
1963;41;0.006533353
1963;42;0.004032741
1963;43;0.006045367
1963;44;0.005780482
1963;45;0.005390886
1963;46;0.007438303
1963;47;0.627501187
1963;48;0.484683568
1963;49;0.29177756
1963;50;0.365174642
1963;51;0.212836477
1963;52;0.231349663
1963;53;0.084202992
1963;54;0.00031868
1963;55;0.000228249
1963;56;0.000218834
1963;57;0.000388895
1963;58;0.000890894
1963;59;0.083628604
1963;60;0.381930995
1963;61;1.47111E-05
1963;62;0.030178986
1963;63;0.00143003
1963;64;0.00041369
1963;65;0.00108266
1963;66;0.036704477
1964;1;0.111269472
1964;2;0.076560913
1964;3;0.028863034
1964;4;0.014358266
1964;5;0.051448312
1964;6;0.045018919
1964;7;0.72754547
1964;8;0.50776687
1964;9;1.201873104
1964;10;0.052283885
1964;11;0.014011726
1964;12;0.02964665
1964;13;0.103517586
1964;14;0.025750282
1964;15;0.031372295
1964;16;0.035823019
1964;17;0.01787235
1964;18;1.162201771
1964;19;1.331608573
1964;20;0.286958209
1964;21;0.345476567
1964;22;0.666234944
1964;23;0.254458231
1964;24;0.200941194
1964;25;0.772114945
1964;26;0.067358036
1964;27;0.053596418
1964;28;0.02929672
1964;29;0.04990129
1964;30;0.019661184
1964;31;0.005427953
1964;32;0.035492082
1964;33;0.014413335
1964;34;0.044156201
1964;35;0.129886083
1964;36;0.19898275
1964;37;0.111017858
1964;38;0.035256856
1964;39;0.00658591
1964;40;0.01604393
1964;41;0.015150973
1964;42;0.005796775
1964;43;0.006636546
1964;44;0.006127159
1964;45;0.006733242
1964;46;0.012345592
1964;47;0.582202112
1964;48;0.473959058
1964;49;0.185545955
1964;50;0.229166485
1964;51;0.130678822
1964;52;0.161259246
1964;53;0.064421739
1964;54;0.000398893
1964;55;0.000228457
1964;56;0.000218834
1964;57;0.000388895
1964;58;0.000763582
1964;59;0.087723465
1964;60;0.400821532
1964;61;1.512E-05
1964;62;0.029657589
1964;63;0.001378848
1964;64;0.000591241
1964;65;0.001044226
1964;66;0.033860771
1965;1;0.131316927
1965;2;0.057781569
1965;3;0.030307712
1965;4;0.013436431
1965;5;0.052790218
1965;6;0.047185293
1965;7;0.9758872
1965;8;0.498705051
1965;9;1.229436609
1965;10;0.051439349
1965;11;0.012279464
1965;12;0.028368134
1965;13;0.089706075
1965;14;0.02761979
1965;15;0.028711104
1965;16;0.034338264
1965;17;0.016812496
1965;18;1.219980351
1965;19;1.309919377
1965;20;0.256176624
1965;21;0.431659261
1965;22;0.798293353
1965;23;0.253903305
1965;24;0.239626114
1965;25;0.67038734
1965;26;0.070873667
1965;27;0.059808872
1965;28;0.035739347
1965;29;0.090972122
1965;30;0.036140994
1965;31;0.006237955
1965;32;0.035132779
1965;33;0.019156475
1965;34;0.044677583
1965;35;0.114934175
1965;36;0.210777713
1965;37;0.118994299
1965;38;0.037938035
1965;39;0.006957479
1965;40;0.014650708
1965;41;0.016062482
1965;42;0.005988052
1965;43;0.007395458
1965;44;0.007119789
1965;45;0.008288189
1965;46;0.011901613
1965;47;0.603450013
1965;48;0.525289811
1965;49;0.226485424
1965;50;0.300426008
1965;51;0.169300106
1965;52;0.207446605
1965;53;0.074494934
1965;54;0.000341577
1965;55;0.000220971
1965;56;0.000218834
1965;57;0.000388895
1965;58;0.000733164
1965;59;0.071390044
1965;60;0.500857566
1965;61;1.47111E-05
1965;62;0.037301312
1965;63;0.001350493
1965;64;0.000349254
1965;65;0.001024475
1965;66;0.059142778
1966;1;0.11344422
1966;2;0.070426196
1966;3;0.08432322
1966;4;0.013324495
1966;5;0.047438951
1966;6;0.04157945
1966;7;0.896730071
1966;8;0.431935836
1966;9;1.226409636
1966;10;0.050289347
1966;11;0.01263829
1966;12;0.028636367
1966;13;0.105138918
1966;14;0.037399454
1966;15;0.040991765
1966;16;0.033137631
1966;17;0.016591359
1966;18;1.219817633
1966;19;1.116107166
1966;20;0.293229351
1966;21;0.502337401
1966;22;0.917704977
1966;23;0.30487542
1966;24;0.18915793
1966;25;0.688567162
1966;26;0.073028165
1966;27;0.066125917
1966;28;0.036677096
1966;29;0.124794544
1966;30;0.050981276
1966;31;0.008398299
1966;32;0.04104175
1966;33;0.023132909
1966;34;0.048388587
1966;35;0.113800449
1966;36;0.230285791
1966;37;0.133516262
1966;38;0.042981236
1966;39;0.008350808
1966;40;0.020848244
1966;41;0.017464162
1966;42;0.006394131
1966;43;0.007056317
1966;44;0.005744643
1966;45;0.006580468
1966;46;0.014232498
1966;47;0.616395762
1966;48;0.526833934
1966;49;0.248230632
1966;50;0.311767777
1966;51;0.179302823
1966;52;0.220070564
1966;53;0.07499304
1966;54;0.000352776
1966;55;0.000214298
1966;56;0.000218834
1966;57;0.000388895
1966;58;0.000747806
1966;59;0.054320049
1966;60;0.403462301
1966;61;3.61476E-05
1966;62;0.040282283
1966;63;0.00128163
1966;64;0.000260014
1966;65;0.000972325
1966;66;0.071468517
1967;1;0.094038279
1967;2;0.069133964
1967;3;0.104254019
1967;4;0.014595839
1967;5;0.045397681
1967;6;0.042490705
1967;7;0.558150642
1967;8;0.372994329
1967;9;1.514284604
1967;10;0.054991518
1967;11;0.01413133
1967;12;0.024705195
1967;13;0.111548072
1967;14;0.103210676
1967;15;0.216152066
1967;16;0.049963926
1967;17;0.019137535
1967;18;1.42571517
1967;19;1.132795373
1967;20;0.337856014
1967;21;0.447154337
1967;22;0.856649996
1967;23;0.330198287
1967;24;0.209273591
1967;25;0.747161581
1967;26;0.084807442
1967;27;0.076478716
1967;28;0.039978746
1967;29;0.126859218
1967;30;0.053489512
1967;31;0.008418687
1967;32;0.042068538
1967;33;0.028015965
1967;34;0.0521394
1967;35;0.112319522
1967;36;0.236743337
1967;37;0.135342662
1967;38;0.039398385
1967;39;0.007240702
1967;40;0.015559217
1967;41;0.014648296
1967;42;0.006991233
1967;43;0.008615211
1967;44;0.007404
1967;45;0.008092992
1967;46;0.01534036
1967;47;0.625616502
1967;48;0.535728846
1967;49;0.259475199
1967;50;0.349817111
1967;51;0.202561
1967;52;0.273215045
1967;53;0.083687114
1967;54;0.000341498
1967;55;0.000203802
1967;56;0.000218834
1967;57;0.000388895
1967;58;0.000743175
1967;59;0.080236994
1967;60;0.393328789
1967;61;0.000238947
1967;62;0.056625367
1967;63;0.001214272
1967;64;0.000423551
1967;65;0.000921666
1967;66;0.035737307
1968;1;0.109054623
1968;2;0.064908939
1968;3;0.073944212
1968;4;0.029943386
1968;5;0.05047899
1968;6;0.043311009
1968;7;0.53987895
1968;8;0.472768008
1968;9;1.748833133
1968;10;0.054185431
1968;11;0.016443195
1968;12;0.025188953
1968;13;0.115222528
1968;14;0.042772686
1968;15;0.064357107
1968;16;0.049149917
1968;17;0.021185771
1968;18;1.266535362
1968;19;1.165888926
1968;20;0.59641332
1968;21;0.343571774
1968;22;0.976248172
1968;23;0.373654463
1968;24;0.206476684
